,ind1,ind2,indAll,indAny,indnot1,indnot2,ind1=tempResponsive,ind2=PIF7Dependent
0,AT5G33355,AT4G40010,AT1G65310,AT3G50890,AT4G40010,AT5G33355,,
1,AT3G50890,AT3G50890,AT4G10150,AT1G30750,AT1G14390,AT1G14642,,
2,AT1G14642,AT1G14390,AT1G29420,AT1G76490,AT1G30750,AT4G11660,,
3,AT4G11660,AT1G30750,AT3G50890,AT1G30860,AT2G39180,AT1G76490,,
4,AT1G76490,AT2G39180,AT3G13980,AT5G51060,AT4G11780,AT1G53560,,
5,AT4G23493,AT4G11780,AT5G59845,AT1G64780,AT3G16370,AT5G04370,,
6,AT4G24275,AT3G16370,AT5G07010,AT4G37010,AT3G61750,AT2G43010,,
7,AT1G53560,AT4G24275,AT5G15580,AT2G43010,AT5G51060,AT2G23690,,
8,AT5G04370,AT5G43950,AT3G03850,AT1G14390,AT1G64780,AT3G45970,,
9,AT2G43010,AT5G46730,AT4G24275,AT3G45970,AT4G37010,AT2G35210,,
10,AT3G45970,AT1G64780,AT2G14900,AT1G23030,AT3G59350,AT5G25130,,
11,AT1G23030,AT4G37010,AT1G44970,AT1G27620,AT3G18200,AT1G19610,,
12,AT2G35210,AT4G15165,AT5G12250,AT3G60330,AT3G03500,AT1G61100,,
13,AT5G25130,AT3G59350,AT1G65490,AT4G21920,AT4G14690,AT1G72840,,
14,AT1G19610,AT3G18200,AT1G73830,AT5G25130,AT3G55580,AT4G35470,,
15,AT1G61100,AT3G03500,AT1G14480,AT2G10940,AT3G60330,AT4G25950,,
16,AT1G72840,AT4G14690,AT3G23050,AT3G01260,AT4G21920,AT1G72430,,
17,AT3G48790,AT1G23030,AT1G52190,AT1G54010,AT2G11891,AT5G56850,,
18,AT4G35470,AT5G61270,AT3G03820,AT2G35860,AT4G30110,AT4G38690,,
19,AT4G25950,AT3G55580,AT5G11540,AT4G38690,AT1G54010,AT5G03170,,
20,AT1G72430,AT3G60330,AT2G27930,AT5G03170,AT5G09800,AT5G24580,,
21,AT5G56850,AT4G21920,AT3G42800,AT1G64390,AT2G35860,AT1G09140,,
22,AT4G38690,AT1G08630,AT1G23030,AT1G30935,AT2G21390,AT5G47830,,
23,AT3G48260,AT3G29370,AT4G25810,AT4G08950,AT3G20810,AT3G16570,,
24,AT5G03170,AT3G48790,AT1G64670,AT3G56250,AT3G28290,AT5G54380,,
25,AT5G23155,AT4G30110,AT1G09460,AT1G69490,AT1G64390,AT1G49210,,
26,AT4G08950,AT1G54010,AT1G15050,AT5G48657,AT4G00820,AT1G36060,,
27,AT3G56250,AT5G09800,AT1G08630,AT4G10940,AT3G42658,AT2G27420,,
28,AT5G61660,AT2G35860,AT3G29370,AT4G24430,AT3G28740,AT1G29600,,
29,AT1G02700,AT2G21390,AT3G48790,AT5G47830,AT1G15415,AT4G36900,,
30,AT1G69690,AT3G20810,AT5G10970,AT5G54380,AT5G48657,AT3G16240,,
31,AT3G16570,AT3G48260,AT5G13170,AT3G12580,AT4G01430,AT3G03341,,
32,AT5G54380,AT3G28290,AT5G55730,AT1G49210,AT4G24430,AT1G72690,,
33,AT5G24030,AT4G36570,AT2G33570,AT1G29600,AT3G55720,AT2G15580,,
34,AT3G12580,AT1G64390,AT4G38825,AT4G17030,AT5G42040,AT4G11960,,
35,AT1G49210,AT4G00820,AT5G62220,AT1G20450,AT4G31940,AT5G54250,,
36,AT1G36060,AT5G47370,AT2G42900,AT3G16240,AT1G20450,AT3G20395,,
37,AT2G27420,AT3G56250,AT2G26690,AT4G01330,AT1G32330,AT5G05180,,
38,AT1G21910,AT3G42658,AT5G18060,AT5G07150,AT1G78476,AT4G21020,,
39,AT4G17030,AT5G17780,AT5G18050,AT5G54250,AT4G14860,AT1G72060,,
40,AT4G24972,AT1G15415,AT3G24715,AT3G14440,AT4G36570,AT4G04810,,
41,AT2G40000,AT5G12340,AT5G52900,AT5G61360,AT5G43620,AT1G34060,,
42,AT2G36630,AT4G01430,AT1G04310,AT3G20395,AT1G78478,AT2G07759,,
43,AT1G72690,AT1G02660,AT1G11735,AT1G23080,AT2G41230,AT2G07754,,
44,AT4G01330,AT1G69690,AT3G06990,AT5G54790,AT3G48080,AT4G19170,,
45,AT4G11960,AT5G24030,AT4G14380,AT3G06770,AT5G07150,AT2G07751,,
46,AT5G66400,AT3G12580,AT1G29430,AT5G02780,AT1G07610,AT3G59060,,
47,AT5G54250,AT5G42040,AT2G47560,AT4G21020,AT2G34260,AT2G29500,,
48,AT5G57550,AT1G21910,AT5G47370,AT4G28040,AT2G39430,AT1G14890,,
49,AT5G49630,AT4G17030,AT3G56250,AT4G04810,ATCG01190,AT1G01448,,
50,AT3G20395,AT1G20450,AT4G38400,AT3G06778,AT5G61360,AT3G21010,,
51,AT1G23080,AT1G32330,AT5G02760,AT1G34060,AT1G80340,AT5G49360,,
52,AT5G27780,AT1G78476,AT4G34530,AT5G48150,AT4G11280,AT5G25490,,
53,AT5G05180,AT4G14860,AT5G10625,AT2G07759,AT2G41540,AT4G27310,,
54,AT5G63600,AT3G07010,AT4G16515,AT2G07754,AT3G06770,AT1G70890,,
55,AT1G22370,AT3G61820,AT2G21320,AT3G01513,AT4G00050,AT1G13040,,
56,AT1G72060,AT1G78478,AT1G69690,AT2G07751,AT4G28040,AT3G45730,,
57,AT4G04810,AT2G41230,AT3G54200,AT1G53035,AT1G03545,AT2G32540,,
58,AT4G36430,AT5G42680,AT3G15540,AT5G50335,AT3G06778,AT3G12120,,
59,AT3G08570,ATCG00360,AT5G24030,AT2G29500,AT2G23010,AT5G53144,,
60,AT1G34060,AT4G37450,AT1G03620,AT5G37020,AT5G48150,AT2G36830,,
61,AT2G07759,AT3G48080,AT5G35525,AT5G12050,AT3G16400,AT3G58620,,
62,AT5G44660,AT5G01790,AT1G16400,AT4G25631,AT2G32030,ATMG00480,,
63,AT2G07754,AT1G07610,AT5G01740,AT3G18200,AT3G01513,AT5G02810,,
64,AT4G15710,AT5G49630,AT3G28180,AT1G70890,AT5G24105,AT4G33740,,
65,AT2G07751,AT3G27290,AT1G21910,AT3G13520,AT2G38540,AT3G22961,,
66,AT4G21320,AT2G39430,AT4G17030,AT1G07500,AT1G53035,AT2G37340,,
67,AT3G59060,ATCG01190,AT4G38860,AT2G05995,AT5G37020,AT5G51440,,
68,AT2G29500,AT5G61360,AT2G38600,AT1G20190,AT3G48920,AT5G24210,,
69,AT5G64170,AT3G49220,AT3G53403,AT2G30210,AT4G25631,AT4G30270,,
70,AT1G14890,AT1G23080,AT3G07010,AT2G32540,AT3G12820,AT3G56960,,
71,AT1G01448,AT4G11280,AT5G14920,AT5G15160,AT5G59090,AT1G58370,,
72,AT5G12050,AT2G41540,AT5G42680,AT3G12120,ATCG01270,AT1G20850,,
73,AT3G21010,AT3G06770,AT1G15380,AT3G58810,AT3G25717,ATMG00990,,
74,AT5G49360,AT5G02780,AT4G34770,AT1G04160,AT2G05995,AT5G57780,,
75,AT4G27310,AT4G00050,AT4G37890,AT5G46460,AT1G20190,AT1G07440,,
76,AT1G70890,AT1G05260,AT1G76410,AT5G54720,AT2G30210,AT4G01593,,
77,AT2G40530,AT1G03545,AT1G73120,AT1G61255,AT3G58810,AT5G57140,,
78,AT1G13040,AT3G06778,AT5G38200,AT5G51670,AT1G04160,AT3G14450,,
79,AT1G18400,AT5G49280,AT1G09180,AT3G17380,AT5G03552,AT3G14452,,
80,AT1G07500,AT3G08570,AT2G44080,AT4G37553,AT4G08780,AT3G44610,,
81,AT3G45730,AT1G02400,AT5G49630,ATMG00480,AT5G54720,AT4G04620,,
82,AT2G32540,AT3G16400,AT4G21730,AT3G06370,AT1G61255,AT1G10070,,
83,AT5G15160,AT2G32030,AT3G49220,AT2G21220,AT1G80520,AT5G65890,,
84,AT1G52827,AT1G05065,AT5G63650,AT3G26830,AT5G10605,AT3G48690,,
85,AT1G29510,AT5G24105,AT1G23080,AT3G13610,AT2G28270,AT1G69230,,
86,AT5G60860,AT5G20230,AT5G22580,ATCG00200,AT3G26830,AT2G46790,,
87,AT5G46460,AT1G53035,AT5G04190,AT1G53625,ATCG00200,AT1G54050,,
88,AT2G41160,AT4G35320,AT1G07400,AT2G22930,AT1G53625,AT3G27250,,
89,AT5G15850,AT5G50335,AT5G62170,AT5G57780,AT2G22930,AT3G53420,,
90,AT5G48570,AT5G37020,AT2G44500,AT3G05800,AT3G05800,AT4G15953,,
91,AT4G13280,AT3G48920,AT5G65390,AT2G36885,AT4G18780,AT5G56810,,
92,AT3G58620,AT5G48900,AT5G44260,AT4G30270,AT3G11430,AT3G28200,,
93,AT3G17380,AT5G12050,AT2G14890,AT3G23090,AT4G08300,AT3G03870,,
94,ATMG00500,AT3G29575,AT3G08570,AT2G07689,AT2G07689,AT4G14130,,
95,AT1G80440,AT4G25631,AT3G03830,AT1G20850,AT5G06590,AT4G34000,,
96,AT3G06370,AT3G12820,AT5G25190,AT4G34650,AT2G10940,AT1G73040,,
97,AT4G11211,AT3G13520,AT5G22500,AT1G08630,AT5G41800,AT3G02480,,
98,AT2G36120,AT1G18400,AT1G15790,AT4G14550,AT5G17165,AT5G06980,,
99,AT2G21220,ATCG01270,AT3G19380,AT4G01593,AT4G39840,AT5G20450,,
100,AT4G33740,AT1G07500,AT2G32300,AT5G57140,AT5G44050,AT1G12780,,
101,AT1G54200,AT2G47060,AT5G15290,AT5G66080,AT4G26290,AT4G01270,,
102,AT3G22961,AT2G05995,AT2G25770,AT3G44610,AT2G21100,AT1G01120,,
103,AT2G37340,AT1G20190,AT5G53980,AT4G04620,AT2G26560,AT4G15550,,
104,AT1G55330,AT1G48100,AT5G50335,AT1G10070,AT3G26539,AT5G61455,,
105,AT3G12320,AT5G15160,ATCG00210,AT4G31380,AT2G18969,AT3G48280,,
106,AT4G35770,AT1G52827,AT5G12050,AT4G30110,ATCG00370,AT1G52000,,
107,AT5G24210,AT1G29510,AT4G13260,AT1G29660,AT1G09310,AT3G22090,,
108,AT4G30270,AT3G58810,AT3G12710,AT3G48690,AT1G07119,AT1G73260,,
109,AT1G69570,AT4G21730,AT3G13520,AT2G28470,AT5G53090,AT3G62660,,
110,AT3G56960,AT1G04160,AT2G06850,ATCG00370,AT3G48450,AT5G13490,,
111,AT1G58370,AT2G23000,AT2G16367,AT1G69230,AT2G28670,AT3G03470,,
112,AT1G20850,AT4G08780,AT4G25260,AT1G64760,AT2G27370,AT2G01430,,
113,ATMG00990,AT5G54720,AT1G18400,AT3G29030,AT3G55940,AT5G66400,,
114,AT4G34650,AT1G61255,AT5G09805,AT5G53090,AT1G24070,ATMG00330,,
115,AT1G08630,AT1G80520,AT1G75500,AT1G55265,AT1G33560,AT3G29240,,
116,AT2G47930,AT3G17380,AT1G07500,AT4G15953,AT5G24070,AT2G41640,,
117,AT4G14550,AT3G06370,AT1G36940,AT5G56810,AT1G72140,AT5G54080,,
118,AT3G20100,AT4G11211,AT2G40000,AT4G34790,AT3G50900,AT3G01770,,
119,AT1G58150,AT2G28270,AT1G67050,AT4G14130,AT1G72490,AT2G41160,,
120,AT5G57140,AT3G26830,AT1G35140,AT4G34000,AT3G55090,AT5G48570,,
121,AT1G29465,AT5G66920,AT1G74310,AT3G55940,AT4G36945,ATMG00500,,
122,AT3G14450,AT1G54200,AT5G15160,AT1G73040,AT5G12340,AT2G31980,,
123,AT3G14452,ATCG00200,AT1G52827,AT1G24070,AT3G49550,AT4G01200,,
124,AT1G29460,AT1G53625,AT1G29510,AT3G02480,AT3G55310,AT2G39570,,
125,AT4G04620,AT2G22930,AT5G60860,AT1G33560,AT1G49310,AT3G01490,,
126,AT1G10070,AT1G55330,AT5G03150,AT2G37640,AT5G66562,AT1G73870,,
127,AT4G31380,AT3G05800,AT2G23000,AT5G42180,AT1G43020,AT4G15780,,
128,AT3G50460,AT4G18780,AT4G15330,AT5G27780,AT1G02660,AT5G21170,,
129,AT3G48690,AT5G49770,AT3G53310,AT4G01270,AT1G09890,AT1G64360,,
130,AT2G28470,AT1G69570,AT5G11100,AT5G18020,AT1G25250,AT1G08115,,
131,AT2G19660,AT4G08300,AT4G33420,AT1G01120,AT5G49280,AT1G64200,,
132,AT1G69230,AT2G07689,AT1G29450,AT4G15550,ATCG01010,AT1G11410,,
133,AT2G46790,AT4G34650,AT1G12013,AT3G48280,AT4G26950,AT2G44290,,
134,AT1G54050,AT5G06590,AT3G17380,AT1G52000,AT4G20090,AT1G67865,,
135,AT3G27250,AT2G10940,AT3G62040,AT4G23680,AT1G30860,AT1G67860,,
136,AT4G15780,AT1G04610,AT3G55230,AT3G22090,AT1G14600,AT5G38150,,
137,AT2G46810,AT4G14550,AT2G37030,AT1G73260,AT3G10000,AT2G33051,,
138,AT5G44190,AT3G55230,AT3G06370,AT3G55090,AT5G20730,AT2G37180,,
139,AT5G56810,AT3G20100,AT4G11211,AT4G36945,AT3G16330,AT5G21105,,
140,AT4G34790,AT5G17165,AT5G03960,AT1G62660,AT3G48600,AT1G33615,,
141,AT5G66580,AT4G39840,AT2G21220,AT3G62660,AT5G49770,AT2G23348,,
142,AT3G05250,AT1G29465,AT5G02540,AT3G55310,AT5G59130,AT3G30214,,
143,AT4G34000,AT5G66080,AT1G70940,AT3G03470,AT5G45080,AT5G16340,,
144,AT1G73040,AT1G29460,AT1G54200,AT3G20470,AT5G50940,AT1G52690,,
145,AT3G02480,AT4G26290,AT5G24206,AT5G66562,AT3G21950,AT1G02700,,
146,AT3G10720,AT1G03200,AT5G15780,AT3G20810,AT3G01550,AT1G28660,,
147,AT2G37640,AT2G26560,AT1G55330,AT5G66400,AT5G46330,AT5G48850,,
148,AT2G42380,AT4G31380,AT1G60060,AT5G08760,ATCG00720,AT5G52300,,
149,AT1G12780,AT3G26539,AT5G12020,AT1G25250,AT1G60030,AT5G60840,,
150,AT4G01270,AT2G28470,AT1G62280,AT3G29240,AT4G01870,AT3G52060,,
151,AT5G18020,AT5G45070,AT1G78750,AT2G41640,AT1G52315,AT2G39850,,
152,AT1G01120,ATCG00370,AT5G03760,AT4G26950,AT1G53708,AT3G21550,,
153,AT3G53230,AT2G19660,AT1G69570,AT4G35320,AT4G21740,AT2G45910,,
154,AT3G53232,AT2G40900,AT4G08150,AT1G14600,AT1G71740,AT5G24150,,
155,AT3G48280,AT1G09310,AT1G72180,AT2G41160,AT1G75166,AT2G07726,,
156,AT1G52000,AT3G49380,AT4G21650,AT5G11420,AT5G13930,AT5G24155,,
157,AT4G23680,AT3G29030,AT1G78970,ATMG00500,AT4G11950,AT4G39363,,
158,AT3G22090,AT1G23060,AT4G17695,AT3G16330,AT1G13670,AT4G39364,,
159,AT1G73260,AT3G01750,AT4G34650,AT4G01200,AT4G11521,AT3G18773,,
160,AT3G62660,AT2G28670,AT4G28290,AT5G49770,AT1G30280,AT5G03720,,
161,AT4G21340,AT2G27370,AT1G10800,AT2G39570,AT1G62981,AT3G62860,,
162,AT3G03470,AT3G55940,AT3G23030,AT5G50940,AT4G16270,AT5G51170,,
163,AT3G20470,AT1G24070,AT4G00910,AT4G15780,AT4G19120,AT4G27280,,
164,AT4G37450,AT1G33560,AT1G29500,AT5G66580,AT2G29120,AT5G03860,,
165,AT5G08760,AT3G10720,AT1G52830,AT3G29810,AT5G41060,AT1G64660,,
166,ATMG00330,AT2G37640,AT5G45740,AT1G08115,AT2G35710,AT4G25780,,
167,AT3G29240,AT5G27780,AT5G03545,AT4G33550,AT5G41140,AT5G57660,,
168,AT2G41640,AT3G29810,AT4G14550,AT2G44290,AT3G22620,AT3G46230,,
169,AT2G47630,AT5G18020,AT5G25460,AT1G67865,AT1G75260,AT5G60850,,
170,AT4G35320,AT3G53232,AT3G01470,AT5G57560,AT2G40113,ATMG01080,,
171,AT5G48900,AT4G01680,AT3G20100,AT1G67860,AT4G08555,AT2G31890,,
172,AT3G01770,AT2G39980,AT1G60740,AT4G01870,AT4G33905,AT3G06140,,
173,AT2G36830,AT4G23680,AT5G66310,AT1G68600,AT2G22500,AT5G47740,,
174,AT5G11420,AT3G47510,AT1G29465,AT1G52315,AT5G61270,AT4G25760,,
175,AT5G53830,AT1G72490,AT5G66080,AT1G53708,AT3G15095,AT5G02840,,
176,AT2G31980,AT3G55090,ATMG00830,AT4G14819,AT3G04040,AT3G48550,,
177,AT4G01200,AT4G36945,AT5G18010,AT5G57760,AT2G46590,AT4G35100,,
178,AT2G39570,AT2G40090,AT1G29460,AT5G47370,AT3G16180,AT1G15175,,
179,AT3G01490,AT5G52900,AT4G31910,AT3G02170,AT4G39800,AT1G32780,,
180,AT1G73870,AT4G21340,AT4G31380,AT4G11950,AT5G05365,AT2G21820,,
181,AT5G19120,AT3G55310,AT1G44830,AT1G13670,AT5G63810,AT2G05540,,
182,AT3G53420,AT1G49310,AT1G69160,AT5G66800,AT3G56200,AT4G13040,,
183,AT5G21170,AT5G08260,AT5G39865,AT2G23348,ATCG00870,AT3G26220,,
184,AT1G64360,AT1G43020,AT2G28470,AT4G11521,AT5G43180,AT2G37870,,
185,AT3G29810,AT1G09890,AT4G32280,AT1G67265,AT3G46900,AT3G13061,,
186,AT1G08115,AT5G08760,AT1G70270,AT1G28660,AT1G61340,AT4G34760,,
187,AT1G64200,AT1G25250,AT2G19660,AT1G76240,AT5G63180,AT5G06865,,
188,AT4G33550,AT4G36430,AT2G40900,AT5G52300,AT1G51370,AT1G15830,,
189,AT1G11410,ATCG01010,AT1G12080,AT2G15880,AT5G64660,AT2G46670,,
190,AT2G44290,AT4G26950,AT5G24160,AT2G45910,AT1G04040,AT4G24972,,
191,AT1G10550,AT4G20090,AT3G29030,AT5G24150,AT1G17870,AT4G03320,,
192,AT1G67865,AT1G30860,AT5G19870,AT4G16780,AT2G42800,AT5G25140,,
193,AT5G62490,AT1G14600,AT5G67060,AT2G35710,AT5G12940,AT5G20250,,
194,AT1G79245,AT3G10000,AT1G20700,AT3G48970,AT1G62840,AT5G15830,,
195,AT5G03990,AT5G11420,AT1G09250,AT1G09140,AT5G06860,AT5G18690,,
196,AT1G67860,AT5G53830,AT3G03840,AT2G40113,AT1G64400,AT2G36630,,
197,AT5G06930,AT3G16330,AT5G18080,AT1G03870,AT3G02850,AT5G21100,,
198,AT2G33051,AT2G37030,AT4G09160,AT3G26450,AT1G04250,AT2G24280,,
199,AT4G14819,AT3G11430,AT5G60020,AT4G27280,AT5G05840,AT1G19350,,
200,AT5G57760,AT5G59130,AT5G51890,AT2G22500,AT4G19460,AT1G26911,,
201,AT5G24580,ATCG00940,AT3G10720,AT1G64660,AT5G05960,AT5G39190,,
202,AT4G37980,AT5G45080,AT2G37640,AT1G29420,AT1G70920,AT1G61667,,
203,AT2G37180,AT5G50940,AT1G06080,AT3G04040,AT5G52882,AT5G64180,,
204,AT4G12730,AT3G21950,AT5G27780,AT3G46230,AT3G45960,AT5G12110,,
205,AT5G21105,AT5G66580,AT5G18030,AT5G60850,AT2G36870,AT5G43270,,
206,AT2G23348,AT3G01550,AT5G18020,AT5G05365,AT5G43700,AT2G36950,,
207,AT3G30214,AT1G72140,AT2G40711,AT3G03850,AT5G03130,AT2G46610,,
208,AT4G38400,AT3G49550,AT1G11545,AT5G05850,ATCG00340,AT3G11600,,
209,AT5G16340,AT4G33550,AT3G53232,AT2G31890,AT4G23690,AT3G21670,,
210,AT1G67265,AT1G60030,AT4G01680,AT5G47740,AT3G61820,AT1G72770,,
211,AT5G03260,AT1G10550,AT5G07000,ATCG00870,AT1G74430,AT4G34540,,
212,AT5G38150,AT3G48600,AT4G23680,AT5G43180,AT5G57920,AT2G20722,,
213,AT1G52690,AT1G79245,AT3G47510,AT3G23050,AT1G04220,AT2G20723,,
214,AT4G37800,AT4G01870,AT5G54510,AT2G40370,AT5G16350,AT5G52120,,
215,AT1G28660,AT5G41800,AT1G74670,AT2G27930,AT3G01260,AT5G42200,,
216,AT1G76240,AT1G52315,AT4G38850,AT5G02840,AT1G11185,AT3G49780,,
217,AT5G52300,AT1G78570,AT5G62280,AT3G48450,AT5G48310,AT3G04960,,
218,AT5G60840,AT4G14819,AT5G60650,AT1G68825,AT3G63050,AT3G11690,,
219,AT2G15880,AT5G57760,AT2G44910,AT1G51370,AT1G08430,AT1G33640,,
220,AT2G39850,AT4G21740,AT3G53250,AT3G50460,AT4G16690,AT4G01335,,
221,AT3G21550,AT1G71740,AT2G47880,AT1G32780,AT3G09710,AT5G06720,,
222,AT2G45910,AT4G37980,AT1G51580,AT2G21820,AT5G03890,AT4G01330,,
223,AT5G54165,AT3G02170,AT3G12580,AT2G05540,AT5G27000,AT5G10695,,
224,AT5G24150,AT1G75166,AT1G02340,AT4G38825,AT1G53500,AT1G13790,,
225,AT2G07726,AT5G13930,AT4G08685,AT1G17870,AT1G20440,AT5G63600,,
226,AT5G25240,AT4G11950,AT1G29440,AT3G26220,AT3G14260,AT1G70250,,
227,AT4G16780,AT1G13670,AT4G37450,AT5G18060,AT1G68690,AT1G43790,,
228,AT3G48970,AT4G12730,AT5G08760,AT3G24715,AT2G34650,AT4G12400,,
229,AT4G39363,AT5G66800,AT2G07826,AT1G11735,AT4G13310,AT5G23840,,
230,AT4G39364,AT4G11521,AT4G36430,AT5G06860,AT5G66920,AT5G46460,,
231,AT1G09140,AT1G30280,AT2G46780,AT2G46670,ATCG01060,AT5G47560,,
232,AT4G17695,AT1G67265,AT4G35320,AT4G36900,AT5G66840,AT2G07765,,
233,AT2G38480,AT5G03260,AT5G48900,AT4G03320,AT4G29310,AT2G18050,,
234,AT2G21320,AT4G19370,AT5G01210,AT5G05840,ATCG00040,AT4G37800,,
235,AT1G03870,AT5G61660,AT3G50340,AT5G20250,AT2G24190,AT1G62290,,
236,AT3G18773,AT1G62981,AT3G48260,AT5G05960,AT5G02780,AT4G34790,,
237,AT3G26450,AT3G56230,AT5G11420,AT1G32330,AT1G52410,AT3G12320,,
238,AT5G03720,AT4G31940,AT5G53830,AT1G70920,AT3G21890,AT4G22200,,
239,AT3G62860,AT1G76240,AT2G38090,AT3G54200,AT1G32690,AT3G20470,,
240,AT5G51170,AT5G48657,AT4G28720,AT1G03620,AT1G22910,AT4G34260,,
241,AT4G27280,AT4G21650,AT3G62570,AT5G35525,AT3G08660,AT3G02620,,
242,AT5G03860,AT5G59320,AT3G59900,AT3G03341,AT1G64330,AT2G41312,,
243,AT1G64660,AT4G16270,AT5G06200,AT3G45960,AT3G05880,AT2G23672,,
244,AT1G29420,AT4G19120,AT3G54510,AT2G36870,AT3G21510,AT5G66650,,
245,AT5G57660,AT2G29120,AT5G66580,AT1G29020,AT4G11190,AT4G36600,,
246,AT3G46230,AT5G03130,AT3G29810,AT3G15540,ATMG00640,AT2G15880,,
247,AT1G14520,AT4G16780,AT4G32350,AT1G26911,AT1G62660,AT5G41470,,
248,AT5G15580,AT2G35710,AT4G21340,AT3G07010,AT3G50845,AT5G20240,,
249,AT3G03850,AT3G48970,AT4G33550,AT1G76410,AT3G60290,AT1G13245,,
250,AT5G51890,AT3G22620,AT3G05890,AT5G64180,AT3G50840,AT2G19580,,
251,ATMG01080,AT4G17695,AT4G26990,AT5G43270,AT1G68600,AT5G16370,,
252,AT2G31890,AT1G75260,AT2G40610,AT5G20240,AT3G12610,AT5G03230,,
253,AT3G06140,AT2G40113,AT1G77870,ATMG00830,AT5G47240,AT4G19820,,
254,AT5G47740,AT1G03870,AT1G10550,AT2G36950,AT5G13900,AT3G55420,,
255,AT3G23050,AT5G41900,AT1G04778,AT1G63300,AT3G14940,AT5G08150,,
256,AT3G02170,AT4G33905,AT3G22400,AT5G08185,AT3G54030,AT4G17460,,
257,AT5G02840,AT2G22500,AT1G79245,AT1G11185,AT2G40370,AT3G53040,,
258,AT4G25810,AT4G10150,AT2G43050,AT3G21670,AT3G12110,AT1G01620,,
259,AT3G48550,AT1G29420,AT5G06930,AT5G42680,AT1G70170,AT2G47770,,
260,AT1G09460,AT4G03190,AT2G28780,AT3G52680,AT2G23170,AT1G33055,,
261,AT4G35100,AT3G04040,AT2G26220,AT5G48310,AT3G15340,AT4G36730,,
262,AT1G15175,AT2G46590,AT2G18480,AT5G44260,AT1G34670,AT1G32100,,
